ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
15525824,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,13,0.0,207,4495363679885,1342,15.2,534.453125,23.981000900268555,0,0.0,0.0,,,,,0,,3,,
15525824,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,15,0.0,207,4495372367603,7,42.5,-441.6116638183594,0.2386000007390976,0,0.0,0.0,,,,,0,,3,,
15525824,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,5,0.0,207,4495364394578,10,39.1,469.8502197265625,0.2281000167131424,0,0.0,0.0,,,,,0,,3,,
15525824,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,24,0.0,207,4495375013226,7,42.2,239.01075744628906,0.24310000240802765,0,0.0,0.0,,,,,0,,3,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,23,0.0,207,4495365146468,7,42.1,725.348388671875,0.2281000018119812,0,0.0,0.0,,,,,0,,3,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,17,0.0,207,4495374688762,55,25.1,-549.6895751953125,2.637500047683716,0,0.0,0.0,,,,,0,,3,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,1,0.0,15,339313362468812,9,40.2,386.3375549316406,0.02460000105202198,0,0.0,0.0,,,,,0,,1,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,6,0.0,15,339313364629298,40,26.2,-629.6531982421875,0.7324999570846558,0,0.0,0.0,,,,,0,,1,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,12,0.0,15,339313357211082,31,28.9,-546.9801635742188,0.6420000195503235,0,0.0,0.0,,,,,0,,1,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,13,0.0,15,339313367379888,19,32.4,491.27947998046875,0.05180000141263008,0,0.0,0.0,,,,,0,,1,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,14,0.0,15,339313368840893,6,44.3,334.4396667480469,0.03160000219941139,0,0.0,0.0,,,,,0,,1,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,15,0.0,15,339313364378094,6,43.9,311.2295227050781,0.026100000366568565,0,0.0,0.0,,,,,0,,1,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,17,0.0,15,339313372736645,11,38.5,246.83612060546875,0.04090000316500664,0,0.0,0.0,,,,,0,,1,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,19,0.0,15,339313374359753,12,37.6,-137.89425659179688,0.04490000009536743,0,0.0,0.0,,,,,0,,1,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,24,0.0,15,339313365498870,12,37.1,-572.4578247070312,0.03140000253915787,0,0.0,0.0,,,,,0,,1,,
15525825,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,30,0.0,15,339313363242266,2402,25.1,625.7141723632812,32.93600082397461,0,0.0,0.0,,,,,0,,1,,
15526807,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,14,0.0,207,4496375181446,7,42.0,97.39605712890625,0.24310000240802765,0,0.0,0.0,,,,,0,,3,,
15526807,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,6,0.0,207,4496361660254,40,26.7,-111.92439270019531,1.0479999780654907,0,0.0,0.0,,,,,0,,3,,
15526807,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,13,0.0,207,4496363678102,1499,15.2,534.453125,25.481000900268555,0,0.0,0.0,,,,,0,,3,,
15526807,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,15,0.0,207,4496372369040,6,44.4,-441.568603515625,0.23759999871253967,0,0.0,0.0,,,,,0,,3,,
15526807,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,5,0.0,207,4496364393076,10,39.6,469.86376953125,0.2281000167131424,0,0.0,0.0,,,,,0,,3,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,24,0.0,207,4496375012405,8,41.5,239.39727783203125,0.24370001256465912,0,0.0,0.0,,,,,0,,3,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,23,0.0,207,4496365144024,6,43.2,725.6097412109375,0.22760000824928284,0,0.0,0.0,,,,,0,,3,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,17,0.0,207,4496374690251,64,23.5,-548.876708984375,2.0475001335144043,0,0.0,0.0,,,,,0,,3,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,1,0.0,15,339314362467527,8,41.0,386.7015686035156,0.02420000173151493,0,0.0,0.0,,,,,0,,1,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,6,0.0,15,339314364631369,40,26.1,-628.9776611328125,0.7324999570846558,0,0.0,0.0,,,,,0,,1,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,12,0.0,15,339314357212932,46,25.7,-547.2655639648438,0.8119999766349792,0,0.0,0.0,,,,,0,,1,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,13,0.0,15,339314367378236,17,33.4,491.3731994628906,0.043800000101327896,0,0.0,0.0,,,,,0,,1,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,14,0.0,15,339314368839762,7,42.5,334.7449035644531,0.032600000500679016,0,0.0,0.0,,,,,0,,1,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,15,0.0,15,339314364377053,6,44.0,311.2722473144531,0.025600001215934753,0,0.0,0.0,,,,,0,,1,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,17,0.0,15,339314372735793,10,39.6,247.11611938476562,0.04010000079870224,0,0.0,0.0,,,,,0,,1,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,19,0.0,15,339314374360219,12,37.8,-137.64183044433594,0.04490000009536743,0,0.0,0.0,,,,,0,,1,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,24,0.0,15,339314365500757,11,38.1,-572.421630859375,0.030400000512599945,0,0.0,0.0,,,,,0,,1,,
15526808,2036200000000,,,-1329687678241534752,0.2867240905761719,45.09709106059745,-13.691932955410216,15.761785939442719,5,30,0.0,15,339314363240179,2624,25.1,625.7141723632812,34.43600082397461,0,0.0,0.0,,,,,0,,1,,
15527811,2037200000000,,,-1329687678241534756,0.23360824584960938,39.565326005686074,-13.013300103182162,13.393447334582635,5,14,0.0,207,4497375181102,8,41.6,97.63356018066406,0.24370001256465912,0,0.0,0.0,,,,,0,,3,,
