X,Y,Name,description
-122.1634163,37.4348143,Point 625,
-122.1634136,37.4347707,Point 626,
-122.163415,37.4347185,Point 627,
-122.1634123,37.4346695,Point 628,
-122.1634102,37.4346039,Point 629,
-122.1634169,37.4345485,Point 630,
-122.163429,37.4344739,Point 631,
-122.163433,37.4344249,Point 632,
-122.1634437,37.4343727,Point 633,
-122.1634491,37.434345,Point 634,
-122.1634571,37.4343035,Point 635,
-122.1634609,37.4342735,Point 636,
-122.1634636,37.4342426,Point 637,
-122.163473,37.4341968,Point 638,
-122.1634851,37.4341542,Point 639,
-122.1634958,37.4341041,Point 640,
-122.1634922,37.4340588,Point 641,
-122.1634942,37.4340106,Point 642,
-122.1635023,37.4339648,Point 643,
-122.1635077,37.4339116,Point 644,
-122.1635237,37.433853,Point 645,
-122.1635746,37.4336548,Point 646,
-122.1635727,37.4336089,Point 647,
-122.1635834,37.4335546,Point 648,
-122.1635861,37.4335003,Point 649,
-122.1636036,37.4334481,Point 650,
-122.1636197,37.4333906,Point 651,
-122.1636427,37.4333253,Point 652,
-122.1636722,37.4332422,Point 653,
-122.1636863,37.4331969,Point 654,
-122.1637038,37.4331458,Point 655,
-122.163736,37.4330585,Point 656,
-122.1637708,37.4329665,Point 657,
-122.1637936,37.432892,Point 658,
-122.1638245,37.4328078,Point 659,
-122.1638553,37.4327421,Point 660,
-122.1638835,37.4326729,Point 661,
-122.163921,37.4326015,Point 662,
-122.163952,37.4325349,Point 663,
-122.1639801,37.4324646,Point 664,
-122.1640432,37.4323997,Point 665,
-122.1640734,37.4323491,Point 666,
-122.1641002,37.4323128,Point 667,
-122.1641311,37.4322543,Point 668,
-122.1641512,37.4322106,Point 669,
-122.16417,37.4321606,Point 670,
-122.1641847,37.4321212,Point 671,
-122.1642022,37.4320637,Point 672,
-122.1642142,37.4320264,Point 673,
-122.164225,37.4319976,Point 674,
-122.1642612,37.4319696,Point 675,
-122.1643081,37.4319473,Point 676,
-122.1643028,37.4319142,Point 677,
-122.1642813,37.4318221,Point 678,
-122.1642974,37.431788,Point 679,
-122.1643336,37.4317646,Point 680,
-122.1644784,37.4316591,Point 681,
-122.1645177,37.4316014,Point 683,
-122.1645311,37.4315545,Point 684,
-122.1645311,37.4315077,Point 685,
-122.1645244,37.4314598,Point 686,
-122.164499,37.4314175,Point 687,
-122.1644775,37.4313725,Point 688,
-122.1644601,37.4313331,Point 689,
-122.1644275,37.4312887,Point 690,
-122.1644074,37.4312525,Point 691,
-122.164402,37.4312014,Point 692,
-122.1644128,37.4311769,Point 693,
-122.1644235,37.4311321,Point 694,
-122.1644289,37.4311034,Point 695,
-122.1644369,37.4310757,Point 696,
-122.1644463,37.4310352,Point 697,
-122.1644503,37.4310054,Point 698,
-122.1644575,37.4309775,Point 699,
-122.1644722,37.4309434,Point 700,
-122.1644843,37.4309008,Point 701,
-122.1645004,37.4308646,Point 702,
-122.1645152,37.4308209,Point 703,
-122.1645219,37.4307911,Point 704,
-122.1644888,37.4307732,Point 705,
-122.1643078,37.4307317,Point 706,
